date,NO2
2026-04-03,2.2064343e-05
2026-04-04,1.576731e-05
2026-04-05,9.470276e-06
2026-04-06,9.968706e-06
2026-04-07,1.021792e-05
2026-04-08,1.0467134e-05
2026-04-09,1.0965564e-05
2026-04-10,1.1463993e-05
2026-04-11,1.1962423e-05
2026-04-12,1.2460851e-05
2026-04-13,1.2959281e-05
2026-04-14,4.0414734e-06
2026-04-15,4.2135334e-06
2026-04-16,2.1501357e-05
2026-04-17,2.0379744e-05
2026-04-18,2.8747934e-06
2026-04-19,3.1211726e-05
2026-04-20,2.268397e-05
2026-04-21,2.1723152e-05
2026-04-22,2.0762334e-05
2026-04-23,2.0281926e-05
2026-04-24,1.9801519e-05
2026-04-25,1.8840701e-05
2026-04-26,2.8666207e-05
2026-04-27,2.9056246e-05
2026-04-28,2.9446286e-05
2026-04-29,2.9836325e-05
2026-04-30,3.0226365e-05
2026-05-01,3.0616404e-05
2026-05-02,1.5378178e-05
2026-05-03,7.930515e-06
2026-05-04,1.6969096e-05
2026-05-05,1.912682e-05
2026-05-06,2.1748368e-05
2026-05-07,2.2021773e-05
2026-05-08,2.2295178e-05
2026-05-09,2.188652e-05
2026-05-10,2.1477865e-05
2026-05-11,2.0382879e-05
2026-05-12,1.9293664e-05
2026-05-13,2.0319283e-05
2026-05-14,-1.2056896e-06
2026-05-15,1.7057837e-05
2026-05-16,1.6448023e-05
2026-05-17,1.583821e-05
2026-05-18,2.9355817e-05
2026-05-19,2.807601e-05
2026-05-20,2.6796204e-05
2026-05-21,2.5516398e-05
2026-05-22,2.4236591e-05
2026-05-23,2.2956785e-05
2026-05-24,3.4683373e-05
2026-05-25,2.4818972e-05
2026-05-26,1.4954572e-05
2026-05-27,3.1087187e-05
2026-05-28,3.2462245e-05
2026-05-29,1.4512572e-05
2026-05-30,2.3071767e-05
2026-05-31,3.1630963e-05
2026-06-01,5.8533706e-06
2026-06-02,2.7662029e-05
